uuid	legacy_id	short_name	name	entry_date	types_uuids	layers_uuids	types_labels	layers_labels
0d1a5322-2d7a-589e-9c57-7f7fc3ed64fe		Contestatio	Contestatio	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""2eb31b98-98f0-5799-b58b-1c82e72356c0""]"	"[""Mass"", ""Other""]"	"[""Sacramentary/Collectary""]"
b93e6248-2e82-5fc0-ad04-dee29535c58c		Super munera	Super munera	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""2eb31b98-98f0-5799-b58b-1c82e72356c0""]"	"[""Mass"", ""Other""]"	"[""Sacramentary/Collectary""]"
d29b5df6-e9e6-53b7-8cdb-7ad366a0d717		Immolatio	Immolatio	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""2eb31b98-98f0-5799-b58b-1c82e72356c0""]"	"[""Mass"", ""Other""]"	"[""Sacramentary/Collectary""]"
bdc65b5a-19f0-5d0d-8916-6738d8798eed		Post secreta	Post secreta	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""2eb31b98-98f0-5799-b58b-1c82e72356c0""]"	"[""Mass"", ""Other""]"	"[""Sacramentary/Collectary""]"
757c15e5-e945-50f3-862e-ed33879bbd71		Post mysterium	Post mysterium	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""2eb31b98-98f0-5799-b58b-1c82e72356c0""]"	"[""Mass"", ""Other""]"	"[""Sacramentary/Collectary""]"
4feb294e-e18f-5b58-9155-a048650ef706		Ante orationem dominicam	Ante orationem dominicam	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""2eb31b98-98f0-5799-b58b-1c82e72356c0""]"	"[""Mass"", ""Other""]"	"[""Sacramentary/Collectary""]"
65502ef9-e1dd-57c6-9242-3359c7ba2678		Post orationem dominicam	Post orationem dominicam	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""2eb31b98-98f0-5799-b58b-1c82e72356c0""]"	"[""Mass"", ""Other""]"	"[""Sacramentary/Collectary""]"
f28d356b-cdbb-5ffc-ba91-d44f193151c6		Benedictio populi	Benedictio populi	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""2eb31b98-98f0-5799-b58b-1c82e72356c0""]"	"[""Mass"", ""Other""]"	"[""Sacramentary/Collectary""]"
237a4c03-c5ca-5adf-af82-2babacc2494e		Post Eucharistiam	Post Eucharistiam	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""2eb31b98-98f0-5799-b58b-1c82e72356c0""]"	"[""Mass"", ""Other""]"	"[""Sacramentary/Collectary""]"
63b9867a-39c0-5a3a-834e-7dc415a06e69		Consummatio missae	Consummatio missae	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""2eb31b98-98f0-5799-b58b-1c82e72356c0""]"	"[""Mass"", ""Other""]"	"[""Sacramentary/Collectary""]"
30230f69-e5ab-53cc-b719-8432dba9a64b		Consecratio	Consecratio	2026-04-27T09:21:00.013070+00:00	"[""55c19bba-2c11-5dfa-8e6a-53006539eca4"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""2eb31b98-98f0-5799-b58b-1c82e72356c0""]"	"[""Mass"", ""Other""]"	"[""Sacramentary/Collectary""]"
eb70c1e5-597f-5653-9f6a-6ec883ebe16c		Inv	Invitatory	2026-04-27T09:21:00.013070+00:00	"[""d73421c6-ff78-5b2d-bfcd-c20d72c54082"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""c5f3f419-67d7-5c5d-85a2-602ed238ffaa""]"	"[""Office"", ""Other""]"	"[""Gradual/Antiphonal""]"
bd000ca4-23c4-5c4a-9a35-e3ad6b82df7f		Ant	Antiphon	2026-04-27T09:21:00.013070+00:00	"[""d73421c6-ff78-5b2d-bfcd-c20d72c54082"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""c5f3f419-67d7-5c5d-85a2-602ed238ffaa""]"	"[""Office"", ""Other""]"	"[""Gradual/Antiphonal""]"
dc1d1edf-5acc-58a5-a3d6-516fe4e7b26e		AntV	Antiphon Verse	2026-04-27T09:21:00.013070+00:00	"[""d73421c6-ff78-5b2d-bfcd-c20d72c54082"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""c5f3f419-67d7-5c5d-85a2-602ed238ffaa""]"	"[""Office"", ""Other""]"	"[""Gradual/Antiphonal""]"
171886c2-cc03-5c62-9d91-eb67e9bf14a5		AntB	Antiphon for Benedictus	2026-04-27T09:21:00.013070+00:00	"[""d73421c6-ff78-5b2d-bfcd-c20d72c54082"", ""3f8ff2c7-a2b5-59c3-aeed-efdfaad3c3d1""]"	"[""c5f3f419-67d7-5c5d-85a2-602ed238ffaa""]"	"[""Office"", ""Other""]"	"[""Gradual/Antiphonal""]"
